title,price,Rating,free_shipping_status,draz_mall_status,seller_rating,ship_on_time_score,score
"Redmi Note 12S , 8GB Ram 256GB Rom , 6.43 Inches IPS Display , 5000 mAh - Fast charging 33W","Rs. 73,499",5.0,free shiping,status not avail,91%,63%,"Rs. 73,499"
"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 52,999",0,free shiping,status not avail,New Seller,100%,"Rs. 52,999"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 256 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 69,980",0,free shiping,status not avail,93%,Not enough data,"Rs. 69,980"
"Redmi Note 12 8GB Ram 128GB Rom, Display Size 6.67 Inches, Battery Capacity 5000 mAh , Fast charging 33W","Rs. 51,999",4.7,free shiping,status not avail,New Seller,Not enough data,"Rs. 51,999"
"Xiaomi Redmi Note 12 Pro RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 08 MP + 02 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 88,880",4.8,free shiping,status not avail,95%,81%,"Rs. 88,880"
Redmi Note 12 8 GB RAM + 256GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 62,999",0,free shiping,status not avail,90%,98%,"Rs. 62,999"
"Xiaomi Redmi Note 12S , 8GB RAM 256GB ROM , 108 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 74,999",0,free shiping,status not avail,87%,47%,"Rs. 74,999"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 256 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 63,000",5.0,free shiping,status not avail,93%,94%,"Rs. 63,000"
Redmi Note 12 8 GB RAM + 128GB ROM PTA Approved Mobile Phone with 1 Year Brand Warranty,"Rs. 53,000",0,free shiping,status not avail,90%,98%,"Rs. 53,000"
Redmi Note 12S - 8GB RAM 256GB ROM - 6.43 Inches Display - AMOLED LCD - Dual SIM - 5000mAh Battery,"Rs. 74,479",0,free shiping,status not avail,91%,78%,"Rs. 74,479"
Xiaomi Redmi Note 12 S RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 74,880",0,free shiping,status not avail,93%,94%,"Rs. 74,880"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 256 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 63,000",0,free shiping,status not avail,95%,81%,"Rs. 63,000"
"Redmi Note 12s - 6.43"" Inch Display - 8GB RAM - 256GB ROM","Rs. 73,450",0,free shiping,status not avail,85%,62%,"Rs. 73,450"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 52,500",4.8,free shiping,status not avail,93%,Not enough data,"Rs. 52,500"
Redmi Note 12s || 8GB Ram 256GB Rom || 5000mAh Battery,"Rs. 74,999",0,free shiping,status not avail,91%,71%,"Rs. 74,999"
"Xiaomi Redmi Note 12 RAM 6 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,999",0,free shiping,status not avail,95%,55%,"Rs. 54,999"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 128 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 54,990",5.0,free shiping,status not avail,95%,55%,"Rs. 54,990"
"Xiaomi Redmi Note 12S , 8GB RAM 256GB ROM , 108 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 79,199",0,free shiping,status not avail,New Seller,Not enough data,"Rs. 79,199"
"Redmi Note 12 Pro - 8GB RAM 256GB ROM - 6.67"" SuperAmoled Display - 5000mAh Battery - 67W Turbo Charging - Offical PTA Approved - One Year Official Warranty","Rs. 88,749",0,free shiping,status not avail,91%,78%,"Rs. 88,749"
"Xiaomi Redmi Note 12S , 8GB RAM 256GB ROM , 108 MP Main Camera , Fingerprint , 5000mAh Battery","Rs. 74,999",5.0,free shiping,status not avail,93%,80%,"Rs. 74,999"
Redmi Note 12 - 8 GB Ram - 128GB Rom PTA Approved,"Rs. 60,000",0,free shiping,status not avail,90%,93%,"Rs. 60,000"
"Redmi Note 12 Pro - 8GB RAM 256GB ROM - 6.67"" SuperAmoled Display - 5000mAh Battery","Rs. 89,999",0,free shiping,status not avail,89%,79%,"Rs. 89,999"
REDMI NOTE 12S = 8GB RAM + 256GB ROM = 5000 mAh Battery,"Rs. 77,599",0,free shiping,status not avail,95%,50%,"Rs. 77,599"
Redmi Note 12 - 6GB Ran 128GB Rom - 5000mAh Battery,"Rs. 64,999",3.0,free shiping,status not avail,91%,71%,"Rs. 64,999"
"Xiaomi Redmi Note 12 RAM 8 GB ROM 256 Front Camera 13 MP Back Camera 50 MP + 8 MP + 2 MP Battery Type Li-Po 5000 mAh, non-removable","Rs. 63,000",0,free shiping,status not avail,95%,55%,"Rs. 63,000"
Xiaomi Redmi Note 12 S RAM 8 GB ROM 256 GB Front Camera 16 MP Back Camera 108 MP + 8 MP + 2 MP Battery Type 5000 mAh,"Rs. 74,999",0,free shiping,status not avail,95%,81%,"Rs. 74,999"
