,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
0,Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",Male,Bachelors,Commerce (BCOM) or Business Administration (BBA) with a specialisation in accounting.,Entry Level,1 Year,"Nov 19, 2023","Oct 18, 2023",0,0,0,https://www.rozee.pk/octa-accountant-accounting-associate-lahore-jobs-1424345?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424345&utm_campaign=ROZEE.PK_job_search
1,Shipping / Marine,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,ACA/ACCA or equivalent degree,Experienced Professional,5 Years,"Nov 27, 2023","Oct 26, 2023",0,0,0,https://www.rozee.pk/imgs-group-accounting-coordinator-karachi-jobs-1427267?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427267&utm_campaign=ROZEE.PK_job_search
2,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Ferozpur Road, Lahore, Pakistan",Male,Bachelors,FCMA preferred or any CERTIFICATION MUST,Experienced Professional,10 Years,"Nov 22, 2023","Oct 22, 2023",0,0,0,https://www.rozee.pk/contour-software-accounting-trainee-jobs-1415015.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1415015&utm_campaign=ROZEE.PK_job_search
3,Accounting / Taxation,"Accounts, Finance & Financial Services",35+ Posts,Second Shift (Afternoon),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"ACCA, CA, CMA, CPA (Certified or Finalist) / B. Com / M. Com / MBA Accounting/ Finance",Entry Level,Fresh (English should be on Professional Level),"Dec 10, 2023","Nov 10, 2023",0,0,0,https://www.rozee.pk/job/detail/1425553?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425553&utm_campaign=ROZEE.PK_job_search
4,Distribution and Logistics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"I.I Chundrigar Road, Karachi, Pakistan",Male,Bachelors,Bachelor degree in commerce,Experienced Professional,5 Years,"Dec 08, 2023","Nov 07, 2023",35 - 50 Years,0,0,https://www.rozee.pk/contour-software-application-support-analyst-accounting-trainee-jobs-1422345.php?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1422345&utm_campaign=ROZEE.PK_job_search
5,Travel/Tourism/Transportation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,2 Years,"Dec 03, 2023","Nov 02, 2023",0,0,Accounts Department,https://www.rozee.pk/vision-village-pvt-ltd-accountant-lahore-jobs-1432395?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432395&utm_campaign=ROZEE.PK_job_search
6,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Gujranwala, Kamoke, Muridkay, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Nov 19, 2023","Oct 18, 2023",0,0,Finance,https://www.rozee.pk/reliable-trading-agency-accountant-karachi-jobs-1431277?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431277&utm_campaign=ROZEE.PK_job_search
7,Hotel Management / Restaurants,"Accounts, Finance & Financial Services",5 Posts,First Shift (Day),Full Time/Permanent,"New Garden Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Nov 25, 2023","Oct 24, 2023",25 - 40 Years,0,Human Resources,https://www.rozee.pk/nile-consultants-accountant-islamabad-jobs-1429535?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429535&utm_campaign=ROZEE.PK_job_search
8,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",Male,Intermediate/A-Level,0,Entry Level,Less than 1 Year,"Dec 01, 2023","Oct 30, 2023",0,0,Accounts Department,https://www.rozee.pk/job/detail/1424179?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424179&utm_campaign=ROZEE.PK_job_search
9,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,0,Experienced Professional,3 Years,"Dec 03, 2023","Nov 03, 2023",0,0,Operations,https://www.rozee.pk/mei-kong-private-limited-accountant-lahore-jobs-1426331?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426331&utm_campaign=ROZEE.PK_job_search
10,Construction / Cement / Metals,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Contract,"Faisal Town, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 25, 2023","Oct 24, 2023",20 - 22 Years,3 Years - 4 Years,Audit,https://www.rozee.pk/the-pebble-accountant-lahore-jobs-1428629?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428629&utm_campaign=ROZEE.PK_job_search
11,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kamoke, Pakistan",Male,Bachelors,"BBA, MBA or related Bachelor degree",Experienced Professional,0,"Nov 26, 2023","Oct 25, 2023",0,Less than 1 Year - 2 Years,Audit,https://www.rozee.pk/manaal-foods-private-limited-accounts-officer-karachi-jobs-1429819?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429819&utm_campaign=ROZEE.PK_job_search
12,Shipping / Marine,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",No Preference,Bachelors,"Bachelor's degree in Accounting, Finance or related field",Experienced Professional,"5 Years (Big 4 experience would be an advantage (PwC, KPMG, Deloitte or EY))","Dec 02, 2023","Oct 31, 2023",0,2 Years - 3 Years,HR,https://www.rozee.pk/integrated-mep-accountant-lahore-jobs-1426625?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426625&utm_campaign=ROZEE.PK_job_search
13,Call Center,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",Male,Masters,0,Experienced Professional,3 Years,"Nov 27, 2023","Oct 27, 2023",0,1 Year - 3 Years (Must know the knowledge of Taxation),Finance & Accounts,https://www.rozee.pk/usman-group-of-companie-accountant-kamoke-jobs-1427071?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427071&utm_campaign=ROZEE.PK_job_search
14,Accounting / Taxation,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Dalazak Road, Peshawar, Pakistan",Male,Bachelors,B.com,Experienced Professional,0,"Dec 12, 2023","Nov 12, 2023",22 - 30 Years,1 Year - 3 Years (1 Year - 3 Years (Preference will be given to candidates having served in an NGO providing harm re),HR,https://www.rozee.pk/imgs-group-accounts-supervisor-karachi-jobs-1428815?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428815&utm_campaign=ROZEE.PK_job_search
15,Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Raja Bazar, Rawalpindi, Pakistan",Male,Bachelors,0,Experienced Professional,2 Years,"Dec 14, 2023","Nov 13, 2023",0,3 Years - 5 Years,HR,https://www.rozee.pk/ishine-technologies-accounts-executive-lahore-jobs-1427363?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427363&utm_campaign=ROZEE.PK_job_search
16,Construction / Cement / Metals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,B.Com or Alternative,Experienced Professional,3 Years,"Nov 23, 2023","Oct 31, 2023",0,Fresh - 3 Years,HR,https://www.rozee.pk/sudais-associates-accountant-peshawar-jobs-1432807?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432807&utm_campaign=ROZEE.PK_job_search
17,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Qanchi, Lahore, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 14, 2023","Nov 13, 2023",0,Less than 1 Year - 2 Years,Software Development,https://www.rozee.pk/easy-shopping-accountant-rawalpindi-jobs-1433279?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433279&utm_campaign=ROZEE.PK_job_search
18,N.G.O./Social Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Khairpur, Pakistan",Male,Bachelors,"Graduate, preferably B.Com",Experienced Professional,0,"Nov 26, 2023","Nov 13, 2023",0,1 Year - 2 Years,Software Development,https://www.rozee.pk/gondal-construction-company-accounts-officer-karachi-jobs-1428827?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428827&utm_campaign=ROZEE.PK_job_search
19,Advertising / PR,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Kahna Nau, Lahore, Pakistan",No Preference,Masters,"ACCA, MBA (3.5)Year",Experienced Professional,5 Years,"Nov 21, 2023","Nov 08, 2023",0,2 Years - 4 Years,HR,https://www.rozee.pk/salt-lamps-accountant-lahore-jobs-1433121?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433121&utm_campaign=ROZEE.PK_job_search
20,Call Center,"Accounts, Finance & Financial Services",15 Posts,Third Shift (Night),Full Time/Permanent,"Cavalry Ground, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Fresh,"Dec 08, 2023","Nov 07, 2023",0,3 Years - 4 Years,Permanent Recruitment - Outsourcing,https://www.rozee.pk/nai-zindagi-admin-accounts-assistant-khairpur-jobs-1433099?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433099&utm_campaign=ROZEE.PK_job_search
21,AutoMobile,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Faisal Town, Lahore, Pakistan",No Preference,Bachelors,0,Entry Level,Less than 1 Year,"Dec 10, 2023","Nov 09, 2023",0,2 Years - 6 Years (Please read the above details carefully and then apply for the post please),Risk Management Division,https://www.rozee.pk/multitec-international-accounts-manager-lahore-jobs-1424975?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424975&utm_campaign=ROZEE.PK_job_search
22,Chemicals,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,BBA/B.com Accounting,Experienced Professional,2 Years (Having problem solving skills),"Dec 12, 2023","Nov 12, 2023",0,"3 Years - 4 Years (Atleast 03 years of relevant experience in compliance, program audits and fraud investigations and also having experience of conducting audits and developing audit reports/management letters.)",Business Banking,https://www.rozee.pk/softnix-solutions-accounts-officer-lahore-jobs-1431121?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431121&utm_campaign=ROZEE.PK_job_search
23,Information Technology,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,"Bagh, Pakistan",No Preference,Matriculation/O-Level,0,Experienced Professional,3 Years,"Dec 12, 2023","Nov 11, 2023",0,10 Years - 15 Years (10-15 years of relevant experience),Business Banking,https://www.rozee.pk/zulfiqar-motors-coltd-accounts-executive-lahore-jobs-1432335?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432335&utm_campaign=ROZEE.PK_job_search
24,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Green Fort, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,4 Years (Accounts Executive),"Dec 09, 2023","Nov 08, 2023",0,1 Year - 3 Years,IT,https://www.rozee.pk/butt-paints-industry-accounts-officer-lahore-jobs-1432825?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432825&utm_campaign=ROZEE.PK_job_search
25,0,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Clifton, Karachi, Pakistan",Female,Bachelors,0,Entry Level,1 Year,"Dec 09, 2023","Nov 08, 2023",0,2 Years - 4 Years,IT,https://www.rozee.pk/mtbc-accounts-executive-bagh-jobs-1432735?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432735&utm_campaign=ROZEE.PK_job_search
26,Call Center,"Accounts, Finance & Financial Services",3 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",No Preference,Masters,0,Experienced Professional,3 Years,"Dec 04, 2023","Nov 03, 2023",0,4 Years - 5 Years,Call Centre Operations,https://www.rozee.pk/professional-employers-pvt-ltd-sr-accounts-executive-lahore-jobs-1431907?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431907&utm_campaign=ROZEE.PK_job_search
27,Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",Male,Bachelors,0,Experienced Professional,0,"Dec 03, 2023","Nov 02, 2023",25 - 30 Years,Fresh - 6 Years (Experience must be in Audit),Administration & H.R.,https://www.rozee.pk/gulf-minerals-fze-pvt-ltd-accounts-assistant-karachi-jobs-1431867?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431867&utm_campaign=ROZEE.PK_job_search
28,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"SITE Super Highway, Karachi, Pakistan",No Preference,Bachelors,Commerce,Entry Level,0,"Dec 11, 2023","Nov 10, 2023",20 - 25 Years,2 Years - 5 Years,Administration & H.R.,https://www.rozee.pk/ishine-technologies-accounts-officer-lahore-jobs-1430023?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430023&utm_campaign=ROZEE.PK_job_search
29,Call Center,"Accounts, Finance & Financial Services",15 Posts,Third Shift (Night),Full Time/Permanent,"Lahore, Pakistan",No Preference,Intermediate/A-Level,0,Entry Level,Fresh,"Nov 29, 2023","Oct 28, 2023",0,Less than 1 Year - 2 Years,Administration & H.R.,https://www.rozee.pk/gulberg-executive-multan-accounts-officer-multan-jobs-1429667?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429667&utm_campaign=ROZEE.PK_job_search
30,Travel/Tourism/Transportation,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,0,Entry Level,0,"Nov 24, 2023","Oct 26, 2023",20 - 50 Years,Fresh - Less than 1 Year,Sales and Marketing,https://www.rozee.pk/emaan-garment-assistant-accounts-karachi-jobs-1432617?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432617&utm_campaign=ROZEE.PK_job_search
31,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"New Sabzi Mandi, Karachi, Pakistan",Male,Matriculation/O-Level,0,Experienced Professional,0,"Dec 07, 2023","Nov 06, 2023",0,1 Year - 3 Years (Must know the knowledge of Taxation),Sales and Marketing,https://www.rozee.pk/softnix-solutions-accounts-officer-lahore-jobs-1428035?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428035&utm_campaign=ROZEE.PK_job_search
32,Business Development,"Accounts, Finance & Financial Services",10 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Female,Bachelors,0,Entry Level,3 Years,"Dec 11, 2023","Nov 10, 2023",24 - 40 Years,5 Years - 10 Years (Must Know Accounts finalization process),Administration & H.R.,https://www.rozee.pk/golden-moon-accounts-executive-rawalpindi-jobs-1425765?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425765&utm_campaign=ROZEE.PK_job_search
33,Importers / Distributors/Exporters,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"DHA, Lahore, Pakistan",Female,Bachelors,0,Experienced Professional,3 Years,"Nov 21, 2023","Nov 04, 2023",0,2 Years - 5 Years,Sales and Marketing,https://www.rozee.pk/imtiaz-enterprises-accounts-finance-manager-karachi-jobs-1430823?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430823&utm_campaign=ROZEE.PK_job_search
34,Information Technology,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 07, 2023","Nov 06, 2023",22 - 35 Years,1 Year - 2 Years,Sales and Marketing,https://www.rozee.pk/affinityvibez-pvt-ltd-accounts-finance-officer-lahore-jobs-1432497?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432497&utm_campaign=ROZEE.PK_job_search
35,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"P.E.C.H.S, Karachi, Pakistan",Male,0,0,Experienced Professional,10 Years,"Dec 06, 2023","Nov 05, 2023",0,Fresh - 1 Year,Administration & H.R.,https://www.rozee.pk/azaan-traders-accounts-manager-lahore-jobs-1430383?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430383&utm_campaign=ROZEE.PK_job_search
36,Information Technology,"Accounts, Finance & Financial Services",1 Post,Second Shift (Afternoon),Full Time/Permanent,"Gulberg 2, Lahore, Pakistan",Male,Bachelors,"Finance, Accounting, or a related field (Master’s degree or professional certifications like ACCA, CMA, or CA is a plus).",Experienced Professional,3 Years,"Dec 07, 2023","Nov 06, 2023",0,1 Year - 3 Years,Administration & H.R.,https://www.rozee.pk/tryngo-technologies-accounts-executive-lahore-jobs-1430759?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430759&utm_campaign=ROZEE.PK_job_search
37,0,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Bridge Colony, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 05, 2023","Nov 05, 2023",0,2 Years - 4 Years,Administration & H.R.,https://www.rozee.pk/highway-trading-company-manager-accounts-karachi-jobs-1430527?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430527&utm_campaign=ROZEE.PK_job_search
38,0,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Industrial Estate Multan, Multan, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 07, 2023","Nov 06, 2023",0,2 Years - 5 Years,Administration & H.R.,https://www.rozee.pk/aia-enterprises-pvt-ltd-manager-accounts-finance-lahore-jobs-1430815?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430815&utm_campaign=ROZEE.PK_job_search
39,Distribution and Logistics,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Karachi, Pakistan",Male,Bachelors,Bachelor's or Master's Degree in Accounting or Finance,Experienced Professional,6 Years,"Dec 12, 2023","Nov 11, 2023",0,3 Years - 7 Years,Administration & H.R.,https://www.rozee.pk/rohtas-lpg-private-limited-accounts-officer-lahore-jobs-1430449?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430449&utm_campaign=ROZEE.PK_job_search
40,Food & Beverages,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Sheikhupura, Pakistan",No Preference,Bachelors,B.COM/BBA/MBA,Experienced Professional,3 Years,"Dec 14, 2023","Nov 13, 2023",0,4 Years - 5 Years,Sales and Marketing,https://www.rozee.pk/al-qaim-pvc-accounts-audit-officer-multan-jobs-1430967?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1430967&utm_campaign=ROZEE.PK_job_search
41,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Certification,"CA, ACA, FCA, ACMA, FCMA, FCCA, ACCA, CIA",Department Head,12 Years,"Nov 22, 2023","Oct 22, 2023",0,Fresh - 6 Years (Experience must be in Audit),Sales and Marketing,https://www.rozee.pk/marwat-group-audit-executive-retail-karachi-jobs-1432723?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432723&utm_campaign=ROZEE.PK_job_search
42,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,0,Entry Level,Less than 1 Year,"Dec 03, 2023","Nov 02, 2023",0,1 Year - 3 Years,Administration & H.R.,https://www.rozee.pk/sabirs-poultry-pvt-ltd-internal-audit-officer-sheikhupura-jobs-1433293?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433293&utm_campaign=ROZEE.PK_job_search
43,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Township, Lahore, Pakistan",Male,Certification,ACCA OR CA FINALIST OR ACMA OR HOLDER OF ANY CERFICATION IN ACCOUNTING,Experienced Professional,0,"Dec 04, 2023","Nov 03, 2023",24 - 32 Years,2 Years - 3 Years,Sales and Marketing,https://www.rozee.pk/job/detail/1425559?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1425559&utm_campaign=ROZEE.PK_job_search
44,N.G.O./Social Services,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",No Preference,Bachelors,CA-finalist/ACCA-finalist/ACMA-finalist or an equivalent professional qualification in Accounting and Finance,Experienced Professional,0,"Nov 16, 2023","Oct 31, 2023",25 - 35 Years,4 Years - 8 Years,Sales and Marketing,https://www.rozee.pk/shaigan-pharmaceuticals-pvt-ltd-internal-audit-officer-rawalpindi-jobs-1429555?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429555&utm_campaign=ROZEE.PK_job_search
45,Information Technology,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Masters,Bachelor’s degree or Higher,Experienced Professional,0,"Dec 02, 2023","Oct 31, 2023",0,1 Year - 4 Years,Administration & H.R.,https://www.rozee.pk/job/detail/1429861?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429861&utm_campaign=ROZEE.PK_job_search
46,Manufacturing,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",No Preference,Bachelors,"CA Finalist, ACCA member with 1-2 years articles in any audit firm ( BIG 4 Preferred)",Entry Level,1 Year,"Nov 17, 2023","Oct 16, 2023",0,1 Year - 3 Years (Must know the knowledge of Taxation),Administration & H.R.,https://www.rozee.pk/nai-zindagi-internal-audit-officer-islamabad-jobs-1428881?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428881&utm_campaign=ROZEE.PK_job_search
47,Information Technology,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Islamabad, Faisalabad, Multan, Sukkur, Bahawalpur, Rahimyar Khan, Pakistan",Male,Bachelors,0,Department Head,18 Years,"Dec 02, 2023","Oct 31, 2023",0,1 Year - 4 Years (Must be professional in handling accounts),Administration / Stores,https://www.rozee.pk/tech-funnel-head-of-internal-audit-lahore-jobs-1428921?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428921&utm_campaign=ROZEE.PK_job_search
48,Recruitment / Employment Firms,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Rawalpindi, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 01, 2023","Oct 30, 2023",0,Less than 1 Year - 5 Years,,https://www.rozee.pk/airlink-communication-internal-audit-executive-lahore-jobs-1423377?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1423377&utm_campaign=ROZEE.PK_job_search
49,Agriculture / Fertilizer / Pesticide,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",Male,Bachelors,BBA Accounting and Finance / MBA Accounting and Finance,Experienced Professional,0,"Dec 08, 2023","Nov 07, 2023",0,5 Years - 8 Years,,https://www.rozee.pk/qz-solutions-head-of-internal-audit-director-islamabad-faisalabad-multan-sukkur-bahawalpur-rahimyar-khan-jobs-1429021?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429021&utm_campaign=ROZEE.PK_job_search
50,Fast Moving Consumer Goods (FMCG),"Accounts, Finance & Financial Services",2 Posts,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Male,Bachelors,Finance / Accounting,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",22 - 35 Years,Fresh - 1 Year,,https://www.rozee.pk/work-together-junior-auditor-rawalpindi-jobs-1428499?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428499&utm_campaign=ROZEE.PK_job_search
51,Pharmaceuticals / Clinical Research,"Accounts, Finance & Financial Services",4 Posts,First Shift (Day),Full Time/Permanent,"Johar Town, Lahore, Pakistan",Male,Certification,ACCA,Experienced Professional,0,"Nov 29, 2023","Oct 28, 2023",22 - 38 Years,Fresh - 2 Years,,https://www.rozee.pk/neelum-seeds-auditor-multan-jobs-1431413?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431413&utm_campaign=ROZEE.PK_job_search
52,Packaging,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Sundar Industrial Estate, Lahore, Pakistan",Male,Bachelors,ACCA / CA (Part qualify or Fresh with Article ship Completed or ACMA,Experienced Professional,"2 Years (Strong knowledge of internal control frameworks, risk assessment methodologies, and auditing standards, with a deep understanding of Manufacturing industry practices, regulations, and compliance requirements.)","Dec 12, 2023","Nov 11, 2023",0,2 Years - 4 Years (Preferable worked in tax department of a reputable firm),,https://www.rozee.pk/hoest-ar-confectionary-internal-auditor-lahore-jobs-1433297?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1433297&utm_campaign=ROZEE.PK_job_search
53,Hotel Management / Restaurants,"Accounts, Finance & Financial Services",2 Posts,Rotating,Full Time/Permanent,"Islamabad, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 01, 2023","Oct 30, 2023",0,Fresh - 2 Years,,https://www.rozee.pk/job/detail/1427999?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427999&utm_campaign=ROZEE.PK_job_search
54,Real Estate/Property,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Multan, Pakistan",Male,Masters,0,Experienced Professional,0,"Dec 03, 2023","Nov 02, 2023",30 - 35 Years,1 Year - 2 Years,,https://www.rozee.pk/bak-packaging-pvt-ltd-internal-auditor-lahore-jobs-1432793?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432793&utm_campaign=ROZEE.PK_job_search
55,Consultants,"Accounts, Finance & Financial Services",1 Post,First Shift (Day),Full Time/Permanent,"Lahore, Pakistan",Female,Bachelors,Commerce OR Accounting & Finance OR Business Administration.,Entry Level,0,"Dec 08, 2023","Nov 07, 2023",0,2 Years - 3 Years,,https://www.rozee.pk/eggspectation-pakistan-internal-auditor-cost-control-islamabad-lahore-jobs-1428385?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428385&utm_campaign=ROZEE.PK_job_search
56,Electronics,"Accounts, Finance & Financial Services",6 Posts,First Shift (Day),Full Time/Permanent,"Gulberg 3, Lahore, Pakistan",No Preference,Bachelors,"Fresh B. Coms, BBA/ MBA in Account/Finance",Entry Level,0,"Dec 07, 2023","Nov 06, 2023",23 - 30 Years,Less than 1 Year - 1 Year,,https://www.rozee.pk/gulberg-executive-multan-auditor-multan-jobs-1429703?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1429703&utm_campaign=ROZEE.PK_job_search
