,Industry,Functional Area,Total Positions,Job Shift,Job Type,Job Location,Gender,Minimum Education,Degree Title,Career Level,Minimum Experience,Apply Before,Posting Date,Age,Experience,Department,link_to_job
1220,Healthcare / Hospital / Medical,Operations,1 Post,First Shift (Day),Contract,"Islamabad, Pakistan",No Preference,Masters,Master’s Degree in Social Sciences/Management Sciences/MBBS/BDS/D-Pharmacy. Preferably with MPH/M.Phil.,Department Head,0,"Nov 20, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/pakistan-single-window-principal-business-analyst-weboc-karachi-jobs-1431835?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431835&utm_campaign=ROZEE.PK_job_search
1221,0,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Lahore, Pakistan",No Preference,Bachelors,0,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/quqnus-tech-autocad-draftsman-2d-designer-lahore-jobs-1428675?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428675&utm_campaign=ROZEE.PK_job_search
1222,Information Technology,Procurement,1 Post,First Shift (Day),Full Time/Permanent,"Faisalabad, Pakistan",No Preference,Bachelors,Bachelor’s degree or Higher,Experienced Professional,0,"Dec 14, 2023","Nov 13, 2023",29 - 38 Years,,,https://www.rozee.pk/pakistan-single-window-sr-manager-bpm-weboc-karachi-jobs-1431805?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431805&utm_campaign=ROZEE.PK_job_search
1223,Insurance / Takaful,Sales & Business Development,4 Posts,First Shift (Day),Full Time/Permanent,"Faisalabad, Pakistan",No Preference,Bachelors,0,Experienced Professional,3 Years,"Dec 01, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/ahu-technologies-inc-technical-content-writer-lahore-jobs-1427197?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1427197&utm_campaign=ROZEE.PK_job_search
1224,Information Technology,Human Resources,5 Posts,First Shift (Day),Full Time/Permanent,"Islamabad, Pakistan",Female,Bachelors,0,Entry Level,0,"Dec 14, 2023","Nov 13, 2023",20 - 28 Years,,,https://www.rozee.pk/teradata-lead-data-engineer-islamabad-lahore-jobs-1432417?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432417&utm_campaign=ROZEE.PK_job_search
1225,Manufacturing,Quality Assurance (QA),4 Posts,First Shift (Day),Full Time/Permanent,"Daska Road, Sialkot, Pakistan",Male,Bachelors,Engenring,Experienced Professional,0,"Dec 15, 2023","Nov 14, 2023",0,,,https://www.rozee.pk/zaf-group-senior-accounts-manager-assistant-accounts-islamabad-swabi-jobs-1426637?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1426637&utm_campaign=ROZEE.PK_job_search
1226,Manufacturing,Client Services & Customer Support,1 Post,First Shift (Day),Full Time/Permanent,"Saddar Town, Karachi, Pakistan",Male,Bachelors,BE Electronics,Experienced Professional,8 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/teradata-principal-data-engineer-islamabad-karachi-lahore-jobs-1424451?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1424451&utm_campaign=ROZEE.PK_job_search
1227,Manufacturing,Sales & Business Development,2 Posts,First Shift (Day),Full Time/Permanent,"Rawat, Pakistan",Male,Intermediate/A-Level,0,Entry Level,1 Year,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/meditaz-sql-server-database-developer-islamabad-faisalabad-karachi-lahore-multan-rawalpindi-sahiwal-jobs-1428339?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1428339&utm_campaign=ROZEE.PK_job_search
1228,Manufacturing,Merchandising,1 Post,First Shift (Day),Full Time/Permanent,"Sialkot, Pakistan",No Preference,Bachelors,0,Experienced Professional,5 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/tracking-world-social-media-specialist-lahore-jobs-1432837?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1432837&utm_campaign=ROZEE.PK_job_search
1229,0,Sales & Business Development,1 Post,First Shift (Day),Full Time/Permanent,"G.T Road, Gujrat, Pakistan",Male,Masters,0,Experienced Professional,3 Years,"Dec 14, 2023","Nov 13, 2023",0,,,https://www.rozee.pk/decardo-social-media-manager-lahore-jobs-1431271?utm_source=jobSearch&utm_medium=website&utm_content=jobSearch_1431271&utm_campaign=ROZEE.PK_job_search
